date,valid_pixels,mean_inundation,median_inundation,max_inundation,pixels_ge_025_pct,pixels_ge_050_pct,pixels_ge_075_pct
2015-04-19,54707,0.10528992116451263,0.07608917355537415,0.9646179676055908,6.518361452830533,1.1607289743542875,0.27601586634251557
2015-04-27,54707,0.15158118307590485,0.09089218825101852,0.9929106831550598,17.747271829930355,4.7928053082786475,1.519001224706162
2015-05-05,54707,0.20692475140094757,0.14336562156677246,0.9933393597602844,29.827992761438203,9.081104794633228,2.5627433418026944
2015-05-13,54707,0.27132946252822876,0.19917543232440948,0.9909101128578186,40.90335788838723,16.453104721516443,6.83276363171075
2015-05-21,54707,0.23673050105571747,0.1590547114610672,0.9925629496574402,33.44544573820535,13.448004825707862,5.562359478677317
2015-05-29,54707,0.31126904487609863,0.2401110976934433,0.9958996176719666,48.280841574204395,20.50560257371086,10.194307858226551
2015-06-06,54707,0.3963804841041565,0.3412235379219055,0.995682954788208,61.38702542636225,34.235107024695196,17.032555248871258
2015-06-14,54707,0.4662724435329437,0.4371292293071747,0.9977916479110718,69.88685177399601,44.4348986418557,24.609282175955546
2015-06-22,54707,0.4491376578807831,0.39218413829803467,0.9987988471984863,62.57334527574167,42.301716416546334,26.431718061674008
2015-06-30,54707,0.4121073782444,0.3350706100463867,0.9980775117874146,58.63600636116036,36.65710055385965,22.278684629023708
2015-07-08,54707,0.4005364179611206,0.30809783935546875,0.9969006776809692,56.060467581845096,34.6920869358583,21.942347414407664
2015-07-16,54707,0.41324955224990845,0.3563379943370819,0.9977636337280273,61.69777176595317,35.80894583874093,19.801853510519678
2015-07-24,54707,0.43712180852890015,0.39023852348327637,0.998088538646698,65.09039062642806,39.15403878845486,21.48719542288921
2015-08-01,54707,0.40188056230545044,0.33672454953193665,0.9976993203163147,60.43467929149835,33.03781965744786,18.801981464894805
2015-08-09,54707,0.3815409541130066,0.2997947633266449,0.9978660941123962,57.09324218107372,28.987149724898092,17.80942109784854
2015-08-17,54707,0.379645437002182,0.29909390211105347,0.997593343257904,56.937869011278266,29.288756466265742,17.407278776025006
2015-08-25,54707,0.42132773995399475,0.36204415559768677,0.9953318238258362,63.5366589284735,35.92593269599868,20.6500082256384
2015-09-02,54707,0.45791226625442505,0.4195041358470917,0.9978622794151306,69.02224578207542,41.682051657009154,22.841683879576653
